c1	-462	-391	-67
c2	260	326	350
c3	-171	471	368
c4	-225	233	339
c5	-472	-169	74
c6	176	345	-302
c7	-174	110	-431
c8	-155	104	482
c9	-206	433	284
c10	-214	-331	486
c11	-304	22	-478
c12	433	451	456
c13	439	242	390
c14	-451	172	-288
c15	-107	291	273
c16	252	281	149
c17	-138	34	83
c18	219	-222	-267
c19	-296	317	-26
c20	237	9	-169
c21	-413	-75	361
c22	270	9	-263
c23	132	380	4
c24	373	-310	-168
c25	-407	448	-41
c26	458	-307	-412
c27	-122	-208	-173
c28	-294	-290	-69
c29	-114	-487	406
c30	353	-310	-109
c31	-155	177	-146
c32	296	222	-277
c33	-358	-123	-40
c34	-79	261	45
c35	239	252	44
c36	-330	-175	-385
c37	326	-290	75
c38	-208	330	-227
c39	158	-252	-235
c40	-243	-123	-384
c41	425	69	-433
c42	-76	13	-209
c43	172	-361	181
c44	-277	128	-28
c45	155	258	322
c46	-114	36	21
c47	-498	263	311
c48	-463	-290	442
c49	150	9	95
c50	434	141	-97
